Index,artist,title,mood,lyrics,wordcount
797,Baby Bash,That's How I Go,relaxed,"Lil' Jon (Mario in background)]
Back at y'all again, baby (That's how I go)
It's ya boy, Lil' Jon (That's how I go)
That boy, Baby Bash
Mario (That's how I go, how I go, how I go)
Show 'em how we go

I let the roof drop
Drippin' candy with super Bambi
In my new car
And I'm glad that she love to have me
I'm like, ""Oooh, Lord""
From Jamaica to Puerto Rico
Down to Utah
From Miami to California
They some cool broads
Haters tell me they can't be mad
At my new job
We be goin' hard in the paint
Like a hoop star
It's a feeling, lick-licking good
Like a full course
Give it to you, girl, enough to tell ya, baby
You smart
If ya like it, you know I love it
Baby, two more
And the smell of that sweet Chenel
Girl, it never fail
We can fly away on this drive, baby
Heads or tail
And oh yeah
And oh yeah
Chorus: Baby Bash & Mario
I said, I met a lot of ladies and, travelled the world
Sometimes, I party like crazy, showin' love to the girls
That's how I go, that's how I go
Girl, that's how I go, girl
I go and go, that's how I go
Girl, that's how I go, girl
And then my pockets look, gravy, with
Plenty to give
Somebody 'bout to have my baby and a key to my crib
That's how I go, that's how I go
Girl, that's how I go, girl
I go and go, that's how I go
Girl, that's how I go, girl

I said
""Man, girl, you think it's five o'clock traffic on that 101""
Maybe later on tonight, me and you can have ourselves a one-on-one
I swear I seen you somewhere else
Maybe it was on the movie screen
Maybe it was on a television, or on the cover of a magazine
I know and I don't care
Let me see your underware
Let me see how thick you is, baby, let me see what's under there
Everybody know, we go, go, go, go, oh so fast, when I'm on my grind
But I can't lie, when I seen that ass,

Hook: Baby Bash, Grimm, Rasheed & Mario
Well, I gotta read our flights, and I check another photo shoot
Girl, I gotta go, I gotta do another interview
Studio tonight
Another banger you could listen to
Baby, you ain't even gotta ask
You know I'm missing you
The money keep comin', girl, cause, we keep goin'
And we go and go and go and go and go
And keep goin'
Yeah, the money keep comin', girl, cause, we keep goin'
And we go and go and go and go and go
And keep goin'

That's how we go",2247
798,Chimaira,Pure Hatred,angry,"I have told you things need to change
You never listened or came to my aid
The vicious cycle has not changed
My time's spent rearranged

Motherfuck it all
I can't stand this
Remember when I said
Everyone makes me sick
Well nothing has changed

I hate everyone
I hate everyone

This vicious cycle still remains
Constant clusterfuck, bloodstains
Ignorance, you kill for God
Expression not allowed

You fucked it up
With your motherfucking games
Remember when I said
I was so ashamed
Well nothing has changed

I hate everyone
I hate everyone
You have to
Pick and choose your fights
You have to
Come out of this alive

I have told you things need to change
You never listened or came to my aid
The vicious cycle still not changed
My judgment fades away

You'll never change me
Remember we are through
I am staying here
To betray all of you
And nothing will change

I hate everyone
I hate everyone
I hate everyone
I hate, and I hate, and I hate everyone",948
799,The Smiths,London,sad,"Smoke
Lingers 'round your fingers
Train
Heave on - to Euston
Do you think you've made
The right decision this time?
Oh...
You left
Your tired family grieving
And you think they're sad because you're leaving
But did you see Jealousy in the eyes
Of the ones who had to stay behind?
And do you think you've made
The right decision this time?
You left
Your girlfriend on the platform
With this really ragged notion that you'll return
But she knows
That when he goes
He really goes
And do you think you've made
The right decision this time?",535
800,Rihanna,Rockstar 101,relaxed,"I told you
I told you
I told you, baby, baby (oh ohh)
(repeat)
Got up in the club, posted in the back
Feeling so good, lookin so bad
Rocking this skirt, rocking this club
Got my middle finger up
I don't really give a f@#ck
Rockin these diamonds I'm rockin this chain
Make sure you get a picture I'm rocking my fame
To be with you is
You gotta be what you are
The only thing I'm missing is a black guitar
I'm a rockstar
Hey baby, I'm a rockstar
Hey baby
Big city, white lights
Sleep all day, long night
Hey baby, I'm a rockstar
Hey baby, I'm a rockstar
Hey baby it's big cities
And white lights
Sleep all day, long nights
Baby I'mma
Oh, baby Imma(repeat)
Hey, hey, hey
Six inch walker
Big sh!t talker
I never play the victim
Id rather be a stalker
So baby take me in
Ill disobey the law
Make sure you frisk me good
Check my panties and my bra
Wildn out, a crazy house
With my white jacket on
Wont you come and sign me out
To be with you is
You gotta be what you are
The only thing I'm missing is a black guitar
I'm a rockstar
Hey baby, I'm a rockstar
Hey baby
Big city, white lights
Sleep all day, long night
Hey baby, I'm a rockstar
Hey baby, I'm a rockstar
Hey baby it's big cities
And white lights
Sleep all day, long nights
Baby I'mma
Oh, baby Imma(repeat)
Hey, hey, hey
Hey
I'm rocking out tonight
Cause I cant wait till tomorrow
I'm a live my whole life in the night
Cause I aint got time to borrow
I'm rockin out tonight
Why wait till tomorrow
I'm a live my whole life in the night
I'm a rockstar
Hey baby, I'm a rockstar
Hey baby
Big city, white lights
Sleep all day, long night
Hey baby, I'm a rockstar
Hey baby, I'm a rockstar
Hey baby it's big cities
And white lights
Sleep all day, long nights
Baby I'mma
Oh, baby Imma(repeat)
Hey, hey, hey",1751
801,New Direction,I Came To Jesus,sad,"I was messed up, dirty as I could be, I was on my way to hell But I heard the preacher, Preaching the Word of God, Confess your sins and repent I came to Jesus as I was, Weary, worn, and sad I found in Him a resting place And He has made, made me glad I asked the Lord, how could He love me, I have sinned against Your will But He said, repent and I will forgive you, The question's who will you serve? You might be dirty, messed up inside, You may even have lost your will to live Don't be discouraged, don't throw in the towel, Confess your sins and repent so you can be like me Weary Jesus",592
802,Juice Newton,Angel Of The Morning,relaxed,"There'll be no strings to bind your hands
not if my love can't bind your heart.
And there's no need to take a stand
for it was I who chose to start.
I see no need to take me home,
I'm old enough to face the dawn.
Just call me angel of the morning ANGEL
just touch my cheek before you leave me, baby.
Just call me angel of the morning ANGEL
then slowly turn away from me.
Maybe the sun's light will be dim
and it won't matter anyhow.
If morning's echo says we ve sinned,
well, it was what I wanted now.
And if we're the victims of the night,
I won't be blinded by light.
Just call me angel of the morning ANGEL
just touch my cheek before you leave me, baby.
Just call me angel of the morning ANGEL
then slowly turn away,
I won't beg you to stay with me
through the tears of the day,
of the years, baby baby baby.
Just call me angel of the morning ANGEL
just touch my cheek before you leave me, baby.",898
803,Lincoln Brewster,All I Really Want,happy,"Lord I love the way You love me
And how You move me deep within
Lord I love the way You hold me
And draw me into You
Lord I love the way You bless me
And how You look into my heart
Lord I love the way You lead me
Right into Your arms
God I praise Thee
You amaze me
Take my life
And let Your light shine through
Jesus Savior friend of sinners
Fill me up
'Cuz all I really want is more of You",390
804,Elmore James,The Sky Is Crying,relaxed,"The sky is crying, look at the tears roll down the street
The sky is crying, look at the tears roll down the street
I'm waiting in tears looking for my baby, and I wonder where can she be?

I saw my baby one morning, and she was walking on down the street
I saw my baby one morning, yes she walking on down the street
Made me feel so good until my poor heart would skip a beat

I got a bad feeling, my baby, my baby don't love me no more
I got a bad feeling, my baby don't love me no more
Now the sky's been crying, the tears rolling down my door",546
805,The Flying Lizards,Money,happy,"The best things in life are free
But you can give them to the birds and bees
I want money

I want money
Money
I want money
Money, money, money

I want money
Money
Money
Money, money , money

Money don't get everything, it's true
What it don't get, I can't use
I want money

I want money
Money
I want money
Money, money, money
Your love gives me such a thrill
But your love won't pay my bills

I want money
That's what I want
I want money
That's what I want
I want money

The best things in life are free
But you can give them to the birds and bees
I want money

I want money
Money
I want money
Money, money, money

I want money
I want money
Money
I want money
Money, money, money, money
Money",692
806,Stone Temple Pilots,Unglued,sad,"
Moderation is masturbation
What is what and what makes you feel good
All these things I think about, I think about
They always come unglued


Yeah, I got this thing, it's coming over me
I got this thing, it's coming over me
I got this feeling coming over me, over me


This confusion is my illusion
Nowhere to look, but nowhere to find you
All these things I'm sick about, I'm sick about
They always come unglued


Yeah, I got this thing, it's coming over me
I got this thing, it's coming over me
I got this feeling coming over me, over me




Moderation is masturbation
What is what and what makes you feel good
All these things I think about, I think about
They always come unglued

Yeah, I got this thing, it's coming over me
I got this thing, it's coming over me
I got this feeling coming over me, over me
Yeah, I got this thing, it's coming over me
I got this thing, it's coming over me
I got this feeling coming over me, over me
Yeah, wah-woo",949
807,Royksopp,It's What I Want,relaxed,"
All that I want is keeping it easy
All that I want is keeping it easy


It's what I want - that's easy
It's getting it that's complicated
It's what I want - that's easy
It's getting it that's complicated


All that I want is keeping it easy
All that I want is keeping it easy


It's what I want - that's easy
It's getting it that's complicated
It's what I want - that's easy
It's getting it that's complicated


It's what I want - that's easy
It's getting it that's complicated
It's what I want - that's easy
It's getting it that's complicated
All that I want is keeping it easy
All that I want is keeping it easy",614
808,Barbara Lewis,Make Me Your Baby,happy,"I'm gonn'a kiss you in a special way: make me your baby.
I'll find a way to please you every day: make me your baby.
Make me, make me your baby. (doo - aaa)
Kiss me, kiss me and maybe (doo - ooo)
You'll see, paradise is waiting for you and me
If you'll make me your baby, (make me your baby)
If you'll make me your baby. (make me your baby) oooh
You'll know a love no one has known before: make me your baby;
A love that we would share forever more, when I'm your baby.
Make me, make me your baby. (doo - aaa)
Kiss me, kiss me and maybe (doo - ooo)
You'll see paradise is waiting for you and me
If you'll make me your baby, (make me your baby)
If you'll make me your baby. (make me your baby)
Make me your baby.
Oh, make me your baby.
Make me, make me your baby (doo - aaa)
Kiss me, kiss me and maybe (doo - ooo)
You'll see, paradise is waiting for you and me
If you'll make me your baby. (make me your baby)
C'mon, c'mon, c'mon and make me your baby (make me your baby)
Can't you see I want to be your baby...",1010
809,Beyonce,Dangerously In Love,happy,"I love you
I love you
I love you


Baby, I love you, you are my life
My happiest moments were incomplete if you weren't by my side (You weren't by my side)
You're my relation, in connection to the sun (Connection to the sun)
With you next to me, there's no darkness I can't overcome (I can't overcome)
You are my raindrops, I am the seed (I am the seed)
With you and God, who's my sunlight, I bloom and grow so beautifully (Grow so beautifully)
Baby, I'm so proud, proud to be your girl (Proud to be your girl)
You make the confusion go all away from this cold and messed up world


I am in love with you (In love), you set me free
I can't do this thing called life without you here with me
'Cause I'm dangerously in love with you (In love), I'll never leave
Just, just keep lovin' me the way I love you, lovin' me
'Cause I am in love with you (In love), you set me free
I can't do this thing called life without you here with me
'Cause I'm dangerously in love with you (In love), I'll never leave
Just keep lovin' me the way I love you, lovin' me


And I know you love me, love me for who I am (Love me for who I am)
'Cause years before I became who I am, baby, you were my man (Baby, you were my man)
I know it ain't easy, easy lovin' me (Easy lovin' me)
I appreciate the love and dedication from you to me (From you to me)
Later on in my destiny, I see myself having your child (I see myself having your child)
I see myself being your wife and I see my whole future in your eyes (Future in your eyes)
The thought of all my love for you sometimes makes me wanna cry (Sometimes makes me cry)
I realize all my blessings, I'm grateful to have you by my side

I am in love with you (I am in love), you set me free
I can't do this thing called life without you here with me (Do this thing)
'Cause I'm dangerously in love with you (Love with you), I'll never leave
Just, just keep lovin' me (I love you) the way I love you, lovin' me
'Cause I am in love with you (I'm so in love), you set me free
I can't do this thing called life without you here with me
'Cause I'm dangerously in love with you, I'll never leave (No, no, no, no)
Just keep lovin' me the way I love you, lovin' me (Lovin' me)


Every time I see your face (Every time I see your face)
My heart smiles (My heart smiles)
Every time, it feels so good (Every time, it feels so good)
It hurts sometimes (It hurts sometimes)
Created in this world to love
To hold, to feel
To breathe, to live you
Dangerously in love


I am in love with you (In love), you set me free (Yeah)
I can't do this thing called life without you here with me
(Can't do this thing, yeah)
'Cause I'm dangerously in love with you (In love), I'll never leave
(I love you, I love you, I love you, I'll never leave)
Just, just keep lovin' me the way I love you, lovin' me
(Keep lovin' me, oh no)
'Cause I am in love with you (In love), you set me free
(I'm in love with you, I'm in love with you)
I can't do this thing called life without you here with me
(I cannot do it, I cannot do anything without you in my life)
'Cause I'm dangerously in love with you (In love), I'll never leave (Holdin' me, kissin' me, lovin' me)
Just keep lovin' me the way I love you, lovin' me

Dangerously (Dangerously)
Dangerous (Dangerous)
Dangerously in love (Dangerous)
With you (Dangerous, dangerously in love)
Oh, I love you (I love you)
I love you, love you, love you, love you, I love you (I love you)
I love you (I love you)
Oh, yes (I love you, love you, love you, I love you)
I love you (Dangerously in love)
I love you, love you, love you, I love, I love you
Love you
I love you, I love you, I love you
I love you (Dangerously)
Dangerously in love",3662
810,Slayer,Cult,angry,"Oppression is the Holy Law
In God I distrust
In time His monuments will fall
Like ashes to dust
Is war and creed the master plan?
The Bible's where it all began
Its propaganda sells despair
And spreads the virus everywhere

Religion is hate
Religion is fear
Religion is war
Religion is rape
Religion's obscene
Religion's a whore
The pestilence of Jesus Christ
There never was a sacrifice
No man upon the crucifix
Beware the cult of purity
Infectious imbecility
I've made my choice
666!
Corruption breeds the pedophile
Don't pray for the priest
Confession finds the lonely child
God preys on the weak
You think your soul can still be saved
I think you're fucking miles away
Scream out loud, here's where you begin
Forgive me Father for I have sinned!

Religion is hate
Religion is fear
Religion is war
Religion is rape
Religion's obscene
Religion's a whore
The target's fucking Jesus Christ
I would've lead the sacrifice
And nailed him to the crucifix
Beware the cult of purity
Infectious imbecility
I've made my choice
666!
Jesus is pain
Jesus is gore
Jesus is the blood
That's spilled in war
He's everything
He's all things dead
He's pulling on the trigger
Pointed at your head!
Through the fear you're sold into the fraud
Revelation,
Revolution,
I see through your Christ illusion!
The war on terror just drags along
My war with God is growing strong
His propaganda sells despair
And spreads this violence everywhere

Religion is hate
Religion is fear
Religion is war
Religion is rape
Religion's obscene
Religion's a whore
There is no fucking Jesus Christ
There never was a sacrifice
No man upon the crucifix
Beware the cult of purity
Infectious imbecility
I've made my choice
666!",1683
811,UNKLE,Hold My Hand,sad,"
Hold my hand
I need you now
Slow me down
I don't know how

Hold my hand
I need you now
Slow me down
I don't know how


Are you living the feeling
The hights are they worth seeking
Nothing like believing
Are your drugs healing


Hold my hand
I need you now
Slow me down
I don't know how

Hold my hand
I need you now
Slow me down
I don't know how
Are you really living
Or do you seek loving
Are you happy being
Or do you search for meaning

Are you ever asking
Questions they need answering
You're not really hearing
You really need releasing


A million pieces broken
A million secrets unspoken
A million pieces broken
A million secrets unspoken


Hold my hand
I need you now
Slow me down
I don't know how

Hold my hand
I need you now
Slow me down
I don't know how
Dirty games
Na-na-naa
Dirty games
Na-na-naa
Secrets everywhere
Secrets everywhere
Secrets everywhere
Dirty games
Na-na-naa
Secrets everywhere
Dirty games
Na-na-naa",928
812,Jenny Lewis,Pretty Bird,relaxed,"
Pretty bird, pretty bird
Why you so still?
Pretty bird, pretty bird
We've been waiting on you


You go west for the black setting sun
You go south to the white spirit world
You go east for those real green eyes
You go north, walk the good red road
Pretty bird


If there's a mirror in heaven
Pretty bird, pretty bird
There's a window on earth


You go west for the black setting sun
You go south to the white spirit world
You go east for those real green eyes
You go north, walk the good red road
Pretty bird


Sun pity me, yeah
Moon pity me, yeah
Stars pity me
For the blood of the pretty
The blood of the pretty
The blood of the pretty bird
Pretty bird, pretty bird
We're starving you still


You go west for the black setting sun
You go south to the white spirit world
You go east for those real green eyes
You go north, walk the good red road
Pretty bird",859
813,Roisin Murphy,Let Me Know,sad,"
I turn the other way
I'll never turn you down
You turn me on
Don't speak out every meaning
I don't belong to you
You don't belong to me
So don't hold on too tightly


Let me know when you're lonely, babe
Let me know when you're lonely, babe


Happier now than I've been in the past
Gone are the days
Gone are the tears
That was a girl I used to be
The girl that you now see standing in front of you
Could keep going on
Because she believes
In setting you free


So let me know when you're lonely, babe
Let me know when you're lonely, baby
Let me know when you're lonely, babe
Let me know when you're lonely, baby
I turn the other way
I can never turn you down
You turn me on
Don't speak out every meaning
I don't belong to you
Like you don't belong to me
So don't hold on too tightly
Let forever be


So let me know when you're lonely, babe
Let me know when you're lonely, baby
Let me know when you're lonely, babe
Let me know when you're lonely, baby
Let me know when you're lonely, babe (It might be sweet)
Let me know when you're lonely, baby (If we could meet)
Let me know when you're lonely, babe (Along the way)
Let me know when you're lonely, baby (That could be okay)


They're all the same in this cynical age
I won't be your ball and chain
I risk my reputation
Just to get a room
You always have the reservation
So come lie down beside me
(So let me know when you're lonely, babe)
(Let me know when you're lonely, baby) Beside me
(Let me know when you're lonely, babe) Beside me
(Let me know when you're lonely, baby) Beside me

So let me know when you're lonely, babe (It might be sweet)
Let me know when you're lonely, baby (If we could meet)
Let me know when you're lonely, babe (Along the way)
Let me know when you're lonely, baby (That could be okay)


That could be okay
It might be sweet
If we could meet
Along the way
That could be okay",1855
814,Staind,Home,angry,"
I force myself through another day, can't explain the way
Today just fell apart like everything, right in my face
And I try to be the one, I can't accept this all
Because of you I've had to walk away, from everything


And I'm afraid to be alone
Afraid you'd leave me when I'm gone
I'm afraid to come back home


Another sleepless night again, Hotel rooms my only friend
And friends like that just don't add up, to anything
And I try so hard to be, everything that I should never
Take away from you again, 'cause I heard you say


And I'm afraid to be alone
Afraid you'd leave me when I'm gone
I'm afraid to come back home


I cannot forget
I live with regret
I cannot forget
I live with...
I live through this
I can't see through this
I can't do this
Anymore

'Cause I'm afraid to be alone
Afraid you'd leave me when I'm gone
I'm afraid to come back home


Afraid you'd leave me when I'm gone
And I just wish i was back home",926
815,Nirvana,Sliver,relaxed,"When Mom and Dad went to a show
They dropped me off at grandpa Joe's
I kicked and screamed; said, ""Please, don't go!""


Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!


Had to eat my dinner there
Mashed potatoes and stuff like that
I couldn't chew my meat too good


Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!


She said, ""Why don't you stop your crying?
Go outside and ride your bike""
That's what I did, I killed my toe!

Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!


Well, after dinner I had ice cream
I fell asleep and watched TV
I woke up in my mother's arms!


Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! Grandma, take me home!
Grandma, take me home! I wanna be alone!",1438
816,Avenged Sevenfold,Nightmare,angry,"NIGHTMARE!
Now your nightmare comes to life.
Dragged you down below
Down to the devils show
To be his guest forever
Peace of mind is less than never
Hate to twist your mind
But God ain't on your side
An old acquaintance severed
Burn the world your last endeavor
Flesh is burning
You can smell it in the air
Cause men like you have such an easy soul to steal (steal)
So stand in line while they ink numbers in your head
You're now a slave until the end of time here
Nothing stops the madness turning, haunting, yearning pull the trigger
You should have known
The price of evil
And it hurts to know that you belong here
Yeah
Oooooooh
It's your fucking nightmare
While your nightmare comes to life
Can't wake up in sweat
Cause it ain't over yet
Still dancing with your demons
Victim of your own creation
Beyond the will to fight
Where all that's wrong is right
Where hate don't need a reason
Loathing self-assassination
You've been lied to
Just to rape you of your sight
And now they have the nerve to tell you how to feel (feel)
So sedated as they medicate your brain
And while you slowly go insane they tell ya
""Given with the best intentions, help you with your complications""
You should have known
The price of evil
And it hurts to know that you belong here
Yeah
No one to call
Everybody to fear
Your tragic fate
Is looking so clear
Yeah
Oooooooh
It's your fucking nightmare
HA! HA! HA! HA!
(Break)
(Maniacal laughter)
Fight (Fight! ). not to fail (fail! )
Not to fall (fall! )
Or you'll end up like the others
Die (Die! ), die again (die! )
Drenched in sin (sin! )
With no respect for another
OH!
Down(Down! ), feel the fire(fire! )
Feel the hate(hate! )
Your pain is what we desire
Lost (Lost! ), hit the wall (wall! )
Watch you crawl (crawl! )
Such a replaceable liar
And I know you hear their voices
(Calling from above)
And I know they may seem real
(These signals of love)
But our life's made up of choices
(Some without appeal)
They took for granted your soul
And it's ours now to steal
As your nightmare comes to life
You should have known
The price of evil
And it hurts to know that you belong here
Yeah
No one to call
Everybody to fear
Your tragic fate
Is looking so clear
Yeah
Oooooooh
It's your fucking nightmare",2225
817,Alkaline Trio,This Addiction,sad,"
You hit me just like heroin
I feel you coursing through my veins
I once tried to kick this addiction
I swear I'll never kick again
Won't ever kick again, no


This addiction
Can't seem to live without you
This addiction
No going clean
This addiction
Go through withdrawal without you
Sick with this addiction in me


Well, those others were like methadone
I took to get me through the day
Now I'm trying to find my way back home
Staying clean along the way
Hold out for the real thing, yeah


This addiction
Can't seem to live without you
This addiction
No going clean
This addiction
Go through withdrawal without you
Sick with this addiction in me

This addiction
This addiction
This addiction
I go off the rails without you
Sick with this addiction in me",757
818,Electronic,Getting Away With It,happy,"Help me escape this feelin' of insecurity
I need you so much but I don't really think you need me
Well if we all stand up in the name of love
And state the case of what we're dreamin' of
I got to say I only dream of you
Relight my fire, your love is my only desire
Relight my fire, cause I need your love
Turn back the time to the days when our love was new
Do you remember?
No matter what was happenin', I was there with you
Well if we all stand up for what we believe
And then eliminate the possibilities
The world would be one broken dream
So baby don't turn away, listen to what I got to say
Got to be strong enough to walk on through the night
There's a new day on the other side
Got to have hope in your soul
Just keep on walkin' yeah, yeah
Just keep on walkin' yeah, yeah
Just keep on, I'll keep on
I'm strong enough to walk on through the night
And I see day on the other side
And I got hope in my soul, so I'll keep walkin' yeah
Keep walkin' yeah
Relight my fire",971
819,Roy Orbison,Only The Lonely,sad,"Only the lonely
Only the lonely
Only the lonely
Know the way I feel tonight
Only the lonely
Know this feeling ain't right
There goes my baby
There goes my heart
They're gone forever
So far apart
But only the lonely
Know why
I cry
Only the lonely
Only the lonely
Only the lonely
Only the lonely
Know the heartaches I've been through
Only the lonely
Know I cry and cry for you
Maybe tomorrow
A new romance
No more sorrow
But that's the chance
You gotta take
If your lonely heart breaks
Only the lonely",499
820,The Smiths,Ask,angry,"Shyness is nice, and
Shyness can stop you
From doing all the things in life
You'd like to
Shyness is nice, and
Shyness can stop you
From doing all the things in life
You'd like to
So, if there's something you'd like to try
If there's something you'd like to try
ASK ME - I WON'T SAY ""NO"" - HOW COULD I?
Coyness is nice, and
Coyness can stop you
From saying all the things in
Life you'd like to
So, if there's something you'd like to try
If there's something you'd like to try
ASK ME - I WON'T SAY ""NO"" - HOW COULD I?
Spending warm Summer days indoors
Writing frightening verse
To a buck-toothed girl in Luxembourg
ASK ME, ASK ME, ASK ME
ASK ME, ASK ME, ASK ME
Because if it's not Love
Then it's the Bomb, the Bomb, the Bomb, the Bomb, the Bomb, the Bomb, the Bomb
That will bring us together
Nature is a language - can't you read?
Nature is a language - can't you read?
SO... ASK ME, ASK ME, ASK ME
ASK ME, ASK ME, ASK ME
Because if it's not Love
Then it's the Bomb, the Bomb, the Bomb, the Bomb, the Bomb, the Bomb, the Bomb
That will bring us together
If it's not Love
Then it's the Bomb
Then it's the Bomb
That will bring us together
SO... ASK ME, ASK ME, ASK ME
ASK ME, ASK ME, ASK ME
Oh, la...",1198
821,Elliott Smith,Let's Get Lost,angry,"I've been outsideInvited in
But I couldn't abide
Went missing again
Burning every bridge that I cross
To find some beautiful place to get lost

I had true love
I made it die
I pushed her away
She said please stay
Burning every bridge that I cross
To find some beautiful place to get lost
To find some beautiful place to get lost

Well I don't know where I'll go now
And I don't really care who follows me there
But I'll burn every bridge that I cross
And find some beautiful place to get lost
And find some beautiful place to get lost",534
822,Linda Ronstadt,Little Girl Blue,relaxed,"Sit there and count your fingers
What can you do
Old girl you're through
Sit there and count your little fingers
Unlucky little girl blue

Sit there and count the raindrops
Falling on you
It's time you knew
All you can count on is the raindrops
That fall on little girl blue

No use old girl
You may as well surrender
Your hope is getting slender
Why won't somebody send a tender blue boy

To cheer up little girl blue

When I was very young
The world was younger than I
As merry as a carousel
The circus tent was strung with every star in the sky
Above the ring I love so well
Now the young world has grown old
Gone are the tinsel and gold

All you can count on is the raindrops
That fall on little girl blue",709
823,Steel Panther,Death To All But Metal,sad,"All right!
Yeah!
C-c-come on!
Fuck the Goo Goo Dolls, they can suck my balls
They look like the dorks that hang out at the mall
Eminem can suck it, so can Dr. Dre
They can suck each other, just because they're gay
They can suck a dick, they can lick a sack
Everybody shout, “Heavy metal's back!”
Death to all but metal
Death to all but metal
Death to all but metal
Death to Papa Roach, Blink-182
All those fucking pussies sounds like doggy-doo
Wearing baggy pants, spiking up their hair
They're not worth the crust on my underwear
Where is Def Leppard? Where is Mötley Crüe?
Why do all my lyrics sound like Dr. Seuss?
Death to all but metal
Death to all but metal
Death to all but metal
Kill those fucking fuckheads who program MTV
They can suck my ass with all the record companies
Death to Britney Spears, kill the little slut
Kill Madonna too and then fuck her in the butt
Fuck Mariah Carey, death to Sheryl Crow
They can kiss each other on their camel toe
50 Cent's a fag, so is Kanye West
Shooting hot sperm on each others' chest
Death to all but metal
Death to all but metal
Death to all but metal",1103
824,The Who,Long Live Rock,sad,"Down at the Astoria the scene was changing,
Bingo and rock were pushing out X-rating,
We were the first band to vomit in the bar,
And find the distance to the stage too far,
Meanwhile it's getting late at ten o'clock,
Rock is dead they say,
Long live rock.
Long live rock, I need it every night,
Long live rock, come on and join the line,
Long live rock, be it dead or alive.
People walk in sideways pretending that they're leaving,
We put on our makeup and work out all the lead-ins,
Jack is in the alley selling tickets made in Hong Kong,
Promoter's in the pay box wondering where the band's gone,
Back in the pub the governor stops the clock,
Rock is dead, they say,
Long live rock.
Long live rock, I need it every night,
Long live rock, come on and join the line,
Long live rock, be it dead or alive.
Landslide, rocks are falling,
Falling down 'round our very heads,
We tried but you were yawning,
Look again, rock is dead, rock is dead, rock is dead.
The place is really jumping to the Hiwatt amps,
'Til a 20-inch cymbal fell and cut the lamps,
In the blackout they dance right into the aisle,
And as the doors fly open even the promoter smiles,
Someone takes his pants off and the rafters knock,
Rock is dead, they say,
Long live rock, long live rock, long live rock.
Long live rock, long live rock, long live rock,
Long live rock, long live rock, long live rock.
Long live rock, I need it every night,
Long live rock, come on and join the line,
Long live rock, be it dead or alive.",1488
825,Robbie Robertson,Sweet Fire Of Love,angry,"Didn't we break the silence
Didn't we fear the storm
Didn't we move the earth
Didn't we shoot for the sky
And didn't we catch the fire
And didn't we call upon the spirits
And didn't we fall together
And didn't we die for love
Days on the run
Nights in hiding
Hoping that you were
The healing inside me
Breathe in the sweet fire of love
I'm not afraid anymore
Sweet, sweet fire
I'm not alone
Breathe in the sweetest fire of love
I'm not the same anymore
Sweet, sweet fire
The sweet fire of love
The sweet fire of love
Didn't we cross new waters
Didn't we mix new blood
Didn't we build brand new bridges
Didn't we hold back the flood
Broken idols by the side of the road
They didn't fall on the side of the law
Here she comes a-shining like a light
Here she comes, salvation in the night
Days on the run
Nights in hiding
Hoping that you were
The healing inside me
Breathe in the sweet fire of love
I'm not afraid anymore
Sweet, sweet fire
- I'm not alone
Breathe in the sweet fire of love
I'm not the same anymore
Sweet, sweet fire
The sweet fire of love
The sweet fire of love
Didn't we shine like silver
Didn't we bear the cross
Didn't we bring down the hammer
Didn't we beat on the drum
Days on the run
Here she comes a-shining like a light
Nights in hiding
Here she comes salvation in the night
Hoping that you were
I'm giving up the ghost
The healing inside me
I'm giving up the ghost
Breathe in the sweet fire of love
I'm not afraid anymore
Sweet, sweet fire
I'm not alone
Breathe in the sweetest fire of love
I'm not the same anymore
Sweet, sweet fire
The sweet fire of love
The sweet fire of love
Fire of love
Fire of love",1628
